condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,test_acc
task_aligned,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.15,0.2,0.854736328125
task_aligned,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.15,0.2,0.83544921875
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,2048.0,0.05,0.0,0.808837890625
nuisance_dominant,dfa_random,0.0,0.0,0.0,14.0,2048.0,0.15,0.0,0.7158203125
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,2048.0,0.05,0.0,0.83544921875
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,4096.0,0.15,0.2,0.730712890625
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,4096.0,0.15,0.2,0.71142578125
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,4096.0,0.15,0.2,0.71923828125
task_aligned,dfa_random,1.0,2.0,0.0,14.0,1024.0,0.15,0.2,0.77392578125
task_aligned,dfa_random,1.0,0.0,0.0,14.0,512.0,0.05,0.0,0.923828125
task_aligned,dfa_random,0.0,2.0,0.0,14.0,512.0,0.05,0.0,0.943359375
low_sample_noisy,dfa_random,4.0,2.0,0.0,14.0,4096.0,0.05,0.2,0.76171875
low_sample_noisy,dfa_random,4.0,1.0,0.0,14.0,4096.0,0.05,0.2,0.7666015625
task_aligned,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.15,0.4,0.7001953125
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.15,0.1,0.337646484375
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,1024.0,0.15,0.1,0.3310546875
