source_file,cell,condition,method,seed,feedback_seed,feedback_rank,damping,adaptive_lr,epoch,n_train,n_test,input_noise,train_label_noise,loss,train_eval_acc,test_acc,raw_param_cosine,method_param_cosine,method_hidden_projected_step,method_hidden_norm_ratio,factorization_log_corr_mean,factorization_rel_error_mean,gradsq_factor_log_corr_mean,adam_factor_log_corr_mean,adam_exact_log_corr_mean,adam_diagk_update_cosine_mean,adam_m_diagk_update_cosine_mean
results/infodfa_adam_diagk_approx_v1/shards/shard_30/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,0.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0084996223449707,1.0,0.97412109375,0.7367395758628845,0.3580183982849121,0.3227150957621775,0.2483028908576924,0.2627365326188737,0.6609532833099365,0.1314177187159657,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_54/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,3.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0135153476148843,1.0,0.9658203125,0.7109531760215759,0.3668376803398132,0.2963404535462646,0.220568028145146,0.3661936968564987,0.5846709907054901,0.1463024709373712,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_42/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,1.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0103360097855329,1.0,0.968505859375,0.6321969628334045,0.4121729433536529,0.4625343571681037,0.3569253141499553,0.3161319717764854,0.6370119750499725,0.0867924059275537,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_34/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,0.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0076255500316619,1.0,0.97119140625,0.6585891246795654,0.3896685540676117,0.4562581946404742,0.3266026071206865,0.2362933439071639,0.6501567959785461,0.0757423108443617,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_50/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,2.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0124221248552203,1.0,0.97119140625,0.6708644032478333,0.3792651891708374,0.4308519152280822,0.3287189454750494,0.4646117389202118,0.5896655321121216,0.1329936161637306,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_62/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,4.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0102726882323622,1.0,0.972900390625,0.7255489230155945,0.3902047574520111,0.3618845947945343,0.2673199950695656,0.2525974288582802,0.6752931475639343,0.1332315485924482,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_58/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,3.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0127334240823984,1.0,0.965576171875,0.6818696856498718,0.3685916066169739,0.3103234944059125,0.2221482705795131,0.5323687791824341,0.5862834453582764,0.1911428421735763,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_38/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,1.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0087650883942842,1.0,0.966064453125,0.7058875560760498,0.4418148994445801,0.5411391883537987,0.331395199199258,0.4879281669855118,0.6118193566799164,0.1053658621385693,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_2/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,4.0,1.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0108832716941833,1.0,0.97119140625,0.6418615579605103,0.3901466131210327,0.3757646131480578,0.2762812643768392,0.4280921071767807,0.6251080334186554,0.1433544103056192,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_46/infodfa_adam_diagk_results.csv,clean_aligned,task_aligned,ndfa_activity,2.0,0.0,0.0,1.0,,100.0,4096.0,4096.0,0.05,0.0,0.0113570243120193,1.0,0.971435546875,0.6687926650047302,0.4187463819980621,0.5614055971109426,0.3751161339412182,0.5341137051582336,0.6707078814506531,0.1738427504897117,,,,
results/infodfa_adam_diagk_approx_v1/shards/shard_13/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,1.0,0.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.0136154927313327,1.0,0.293701171875,0.4743627309799194,0.3588079214096069,28.835864541274308,17.657661329975884,0.4206610078836093,0.2836859151721,0.0496506723575294,0.076277389191091,0.0593177941782983,0.8724924921989441,0.8235130310058594
results/infodfa_adam_diagk_approx_v1/shards/shard_25/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,4.0,0.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.0162183605134487,1.0,0.328125,0.4637048542499542,0.314450740814209,18.631027124864413,12.889674856203762,0.5234056413173676,0.3404771685600281,0.0848259525373578,0.1843091584742069,0.1450271476060152,0.8118952214717865,0.7640846371650696
results/infodfa_adam_diagk_approx_v1/shards/shard_19/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,2.0,1.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.0168420188128948,1.0,0.326171875,0.4611828625202179,0.337961196899414,22.972361540182867,14.185982070572855,0.6535530090332031,0.3590561747550964,0.0895990720018744,0.1587188504636287,0.1237343326210975,0.84232097864151,0.8004686236381531
results/infodfa_adam_diagk_approx_v1/shards/shard_15/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,1.0,1.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.0152439232915639,1.0,0.301025390625,0.4833252131938934,0.3339909315109253,22.262150391434783,14.785141269185932,0.3292770981788635,0.3269977271556854,0.0397742167115211,0.0686265309341251,0.0529494347350549,0.8658837080001831,0.7899980247020721
results/infodfa_adam_diagk_approx_v1/shards/shard_23/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,3.0,1.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.015913913026452,1.0,0.32177734375,0.4936753809452057,0.342350959777832,22.88900218782544,14.233755861709128,0.7531899213790894,0.3454892784357071,0.0741282906383276,0.149041760712862,0.1149597112089395,0.8387930989265442,0.7951638400554657
results/infodfa_adam_diagk_approx_v1/shards/shard_9/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,0.0,0.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.014170522801578,1.0,0.354248046875,0.4807610809803009,0.3455153107643127,23.236880620586945,14.81653937868437,0.271955820848234,0.3318740129470825,0.0560210407711565,0.0984301567077636,0.0561095156640334,0.8629432022571564,0.8006236255168915
results/infodfa_adam_diagk_approx_v1/shards/shard_27/infodfa_adam_diagk_results.csv,low_sample_noisy,low_sample_noisy,dfa_adam_hidden,4.0,1.0,0.0,,0.003,100.0,512.0,4096.0,0.15,0.4,0.0156550928950309,1.0,0.326171875,0.4680663049221039,0.3025979101657867,16.526775614115692,11.902579182568555,0.4662225395441055,0.3357221186161041,0.0732047380879521,0.154185838997364,0.129155546426773,0.8558803796768188,0.7368852496147156
