phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
width,True,dev_w1024_ediag_r30_s62001,1024,ediag,30.0,62001,complete,0.506,1.3522397755387274,12.393659591674805,0.043253288550937026,14.105502407823224,,,,,,,
width,True,dev_w1024_ediag_r300_s62000,1024,ediag,300.0,62000,complete,0.518,1.3958455631456292,10.826397895812988,0.04106618864597957,14.072584373221616,,,,,,,
width,True,dev_w1024_ediag_r300_s62001,1024,ediag,300.0,62001,complete,0.5045,1.3596585882231662,12.395821571350098,0.04281982409765856,14.131599448301131,,,,,,,
width,True,dev_w1024_ediag_r3000_s62000,1024,ediag,3000.0,62000,complete,0.513,1.3987915832761504,11.4096097946167,0.04108733572416131,14.129378304962302,,,,,,,
width,True,dev_w1024_ediag_r3000_s62001,1024,ediag,3000.0,62001,complete,0.5065,1.3581661483201415,12.70258903503418,0.04328796977334802,14.051892459698138,,,,,,,
width,True,dev_w2048_endfa_r3_s62000,2048,endfa,3.0,62000,complete,0.418,2.0865943541786187,16.055551528930664,0.05403637608197689,20.04699726418039,,,,,,,
width,True,dev_w2048_endfa_r3_s62001,2048,endfa,3.0,62001,complete,0.4105,1.9312029632575844,13.554909706115723,0.053593009367201565,20.024089587946946,,,,,,,
width,True,dev_w2048_endfa_r30_s62000,2048,endfa,30.0,62000,complete,0.441,2.0504657842715153,16.930692672729492,0.05768464064017449,20.070694249305234,,,,,,,
width,True,dev_w2048_endfa_r30_s62001,2048,endfa,30.0,62001,complete,0.4175,1.8855196491533457,14.074397087097168,0.05280020313027478,20.07925203513878,,,,,,,
width,True,dev_w2048_endfa_r300_s62000,2048,endfa,300.0,62000,complete,0.45,1.8587702117761549,15.374245643615723,0.04997729286346949,20.034980999953405,,,,,,,
width,True,dev_w2048_endfa_r300_s62001,2048,endfa,300.0,62001,complete,0.44,1.7263438382903833,13.084145545959473,0.04854625611309384,20.077977926841413,,,,,,,
width,True,dev_w2048_endfa_r3000_s62000,2048,endfa,3000.0,62000,complete,0.454,1.8052713736054171,13.37682056427002,0.05190068246393644,20.021154084148293,,,,,,,
width,True,dev_w2048_endfa_r3000_s62001,2048,endfa,3000.0,62001,complete,0.4485,1.6855819605226052,13.546945571899414,0.0490888847546894,20.038093380957434,,,,,,,
width,True,dev_w2048_ediag_r3_s62000,2048,ediag,3.0,62000,complete,0.468,1.6432569804152675,13.003046035766602,0.04639085235941226,14.552410200027225,,,,,,,
width,True,dev_w2048_ediag_r3_s62001,2048,ediag,3.0,62001,complete,0.4715,1.6074776863871834,12.781496047973633,0.044292795833400206,14.564461776899407,,,,,,,
width,True,dev_w2048_ediag_r30_s62000,2048,ediag,30.0,62000,complete,0.4675,1.7025391727333863,13.714240074157715,0.048368094365647804,14.522140913148178,,,,,,,
width,True,dev_w2048_ediag_r30_s62001,2048,ediag,30.0,62001,complete,0.4545,1.6507841416575009,13.406649589538574,0.04862611142473351,14.516596073037363,,,,,,,
width,True,dev_w2048_ediag_r300_s62000,2048,ediag,300.0,62000,complete,0.462,1.7716555749026284,13.830652236938477,0.051101747746690684,14.487955683005566,,,,,,,
width,True,dev_w2048_ediag_r300_s62001,2048,ediag,300.0,62001,complete,0.4605,1.6192339265493298,13.140892028808594,0.04849030865922546,14.538322819120367,,,,,,,
width,True,dev_w2048_ediag_r3000_s62000,2048,ediag,3000.0,62000,complete,0.476,1.6577302971216912,13.430805206298828,0.04791151538168551,14.52265353580151,,,,,,,
width,True,dev_w2048_ediag_r3000_s62001,2048,ediag,3000.0,62001,complete,0.441,1.690830906698745,13.775554656982422,0.0489163405038083,14.531866403936874,,,,,,,
