condition,input_noise,n_train,train_label_noise,nuisance_energy_ratio,gain
task_aligned,0.05,2048.0,0.2,0.2218934911242603,18.42936197916667
task_aligned,0.05,2048.0,0.4,0.2218934911242603,36.80175781249999
task_aligned,0.05,4096.0,0.0,0.2218934911242603,2.198893229166643
task_aligned,0.05,4096.0,0.1,0.2218934911242603,11.612955729166663
task_aligned,0.05,4096.0,0.2,0.2218934911242603,22.05403645833335
task_aligned,0.05,4096.0,0.4,0.2218934911242603,38.53027343749999
task_aligned,0.15,512.0,0.0,0.2218934911242603,1.5104166666666807
task_aligned,0.15,512.0,0.1,0.2218934911242603,9.785156249999993
task_aligned,0.15,512.0,0.2,0.2218934911242603,13.569335937500004
task_aligned,0.15,512.0,0.4,0.2218934911242603,14.848632812499996
task_aligned,0.15,1024.0,0.0,0.2218934911242603,1.30859375000002
task_aligned,0.15,1024.0,0.1,0.2218934911242603,10.683593749999986
task_aligned,0.15,1024.0,0.2,0.2218934911242603,18.14615885416667
task_aligned,0.15,1024.0,0.4,0.2218934911242603,19.005533854166668
task_aligned,0.15,2048.0,0.0,0.2218934911242603,2.1289062499999845
task_aligned,0.15,2048.0,0.1,0.2218934911242603,9.542643229166659
task_aligned,0.15,2048.0,0.2,0.2218934911242603,18.284505208333336
task_aligned,0.15,2048.0,0.4,0.2218934911242603,32.79134114583333
task_aligned,0.15,4096.0,0.0,0.2218934911242603,2.64648437499998
task_aligned,0.15,4096.0,0.1,0.2218934911242603,10.527343750000007
task_aligned,0.15,4096.0,0.2,0.2218934911242603,20.496419270833332
task_aligned,0.15,4096.0,0.4,0.2218934911242603,34.90234375
